address,price,beds,baths,area
"15014 Pinehurst St, Detroit, MI 48238","$25,000",4,2.0,1549
"17267 Sunderland Rd, Detroit, MI 48219","$120,000",3,2.0,1194
"7400 Kipling St, Detroit, MI 48206","$269,900",3,1.0,3126
"16259 Lesure St, Detroit, MI 48235","$199,900",3,3.0,1500
"17524 Woodingham Dr, Detroit, MI 48221","$164,900",4,2.0,1820
"19673 Helen St, Detroit, MI 48234","$29,900",2,1.0,788
"5767 Berkshire St, Detroit, MI 48224","$169,900",3,2.0,1606
"16518 Mendota St, Detroit, MI 48221","$169,000",3,2.0,1700
"11234 College St, Detroit, MI 48205","$34,900",3,2.0,1583
"8754 Longworth St, Detroit, MI 48209","$109,000",4,1.0,1344
"17303 Prevost St, Detroit, MI 48235","$145,000",4,2.0,1931
"3827 Seneca St, Detroit, MI 48214","$149,900",3,2.0,1668
"17130 Mansfield St, Detroit, MI 48235","$94,500",4,3.0,1460
"19386 Whitcomb St, Detroit, MI 48235","$170,000",3,1.0,1189
"19925 Briarcliff Rd, Detroit, MI 48221","$335,000",4,3.0,2090
"8841 Auburn St, Detroit, MI 48228","$139,999",4,2.0,1280
"8735 Marygrove Dr, Detroit, MI 48221","$254,900",4,2.0,3824
"17329 Santa Rosa Dr, Detroit, MI 48221","$219,900",3,2.0,2305
"10612 Nottingham Rd, Detroit, MI 48224","$175,000",3,2.0,2104
"13556 Glastonbury Ave, Detroit, MI 48223","$135,000",3,1.0,1876
"20128 Norwood St, Detroit, MI 48234","$135,000",3,3.0,1302
"18946 Lindsay St, Detroit, MI 48235","$144,900",3,1.0,1100
"3945 Devonshire Rd, Detroit, MI 48224","$133,490",3,1.0,1292
"15501 Pinehurst St, Detroit, MI 48238","$145,000",5,3.0,1606
"4849 Sturtevant St, Detroit, MI 48204","$125,000",3,2.0,1469
"14919 Fairmount Dr, Detroit, MI 48205","$142,000",3,2.0,1280
"11644 Vaughan St, Detroit, MI 48228","$95,999",3,1.0,960
"3886 Casmere Ave, Hamtramck, MI 48212","$175,000",3,3.0,1280
"19152 Cooley St, Detroit, MI 48219","$155,000",3,1.0,1104
"16511 Winthrop St, Detroit, MI 48235","$119,500",3,2.0,1933
"18667 Griggs St, Detroit, MI 48221","$169,900",3,3.0,2012
"6898 Parkwood St, Detroit, MI 48210","$155,000",3,1.0,1332
"16660 Ardmore St, Detroit, MI 48235","$120,000",3,2.0,1186
"17165 Whitcomb St, Detroit, MI 48235","$115,000",3,1.0,1816
"2704 Burlingame St, Detroit, MI 48206","$129,999",3,2.0,1618
"6035 Charles St, Detroit, MI 48212","$129,900",5,2.0,1500
"708 Webb St, Detroit, MI 48202","$90,500",5,2.0,1698
"4667 Berkshire St, Detroit, MI 48224","$150,000",3,1.0,1218
"2087 Meade St, Detroit, MI 48212","$4,500",2,1.0,698
"19155 Westphalia St, Detroit, MI 48205","$130,000",3,1.0,1982
"20520 Biltmore St, Detroit, MI 48235","$135,000",3,2.0,1722
"16595 Pinehurst St, Detroit, MI 48221","$59,000",3,2.0,1490
"2509 Gladstone St, Detroit, MI 48206","$70,000",6,3.0,3008
"3114 S Electric St, Detroit, MI 48217","$90,000",3,2.0,880
"8164 Hazelton St, Dearborn Heights, MI 48127","$179,900",3,1.0,1049
"16866 Steel St, Detroit, MI 48235","$65,000",3,1.0,1600
"9980 Evergreen Ave, Detroit, MI 48228","$58,000",3,1.0,1134
"18940 Tireman St, Detroit, MI 48228","$89,900",3,2.0,2354
"16521 Winston St, Detroit, MI 48219","$99,900",3,2.0,1713
"910 E Philadelphia St, Detroit, MI 48211","$7,500",3,2.0,1130
"16581 Ardmore St, Detroit, MI 48235","$175,000",3,2.0,1610
"8810 Lafayette Blvd, Detroit, MI 48209","$129,900",5,2.0,1504
"12191 E Outer Dr, Detroit, MI 48224","$129,900",3,2.0,2068
"12030 W Parkway St, Detroit, MI 48239","$134,900",3,1.0,996
"1411 Atkinson St, Detroit, MI 48206","$200,000",5,2.0,4993
"3935 Somerset Ave, Detroit, MI 48224","$134,900",3,1.0,1234
"9615 Sorrento St, Detroit, MI 48227","$68,800",3,1.0,2404
"3301 Columbus St, Detroit, MI 48206","$2,500",3,1.0,1106
"18515 Ardmore St, Detroit, MI 48235","$129,900",3,1.0,1129
"16561 Parkside St, Detroit, MI 48221","$109,900",3,2.0,1420
"7851 Van Dyke Pl, Detroit, MI 48214","$370,000",5,4.0,3058
"18232 Santa Rosa Dr, Detroit, MI 48221","$259,900",3,2.0,2150
"5919 Yorkshire Rd, Detroit, MI 48224","$99,900",2,1.0,1444
"16862 Sorrento St, Detroit, MI 48235","$100,000",3,1.0,1387
"5115 Marseilles St, Detroit, MI 48224","$85,000",3,2.0,2150
"17330 Dresden St, Detroit, MI 48205","$102,000",2,2.0,1005
"251 Chandler St, Detroit, MI 48202","$30,000",7,3.0,4965
"7708 E Canfield St, Detroit, MI 48214","$69,000",3,2.0,1432
"17134 Pennington Dr, Detroit, MI 48221","$294,000",5,4.0,3756
"9988 Heyden St, Detroit, MI 48228","$99,000",3,1.0,1274
"11741 Kenmoor St, Detroit, MI 48205","$105,000",3,2.0,1174
"7446 Rosemont Ave, Detroit, MI 48228","$64,900",3,2.0,1000
"2981 Taylor St, Detroit, MI 48206","$129,900",4,2.0,1829
"15517 Evergreen Rd, Detroit, MI 48223","$125,000",2,2.0,928
"8434 Fielding St, Detroit, MI 48228","$130,000",3,1.0,879
"17410 Monica St, Detroit, MI 48221","$99,000",3,2.0,1244
"924 Chicago Blvd, Detroit, MI 48202","$325,700",5,4.0,3072
"11610 Yellowstone St, Detroit, MI 48204","$99,500",5,2.0,1404
"18652 Monica St, Detroit, MI 48221","$225,000",3,2.0,1464
"15330 Lindsay St, Detroit, MI 48227","$225,000",5,1.0,1733
"15495 Burt Rd, Detroit, MI 48223","$60,000",3,1.0,960
"3958 Concord St, Detroit, MI 48207","$26,000",4,4.0,1721
"4054 Leslie St, Detroit, MI 48238","$189,999",3,2.0,2993
"6368 Scotten St, Detroit, MI 48210","$70,900",3,1.0,2550
"18680 Waltham St, Detroit, MI 48205","$84,900",3,1.0,1936
"7427 Dunedin St, Detroit, MI 48206","$174,900",3,1.0,1243
"15816 Linnhurst St, Detroit, MI 48205","$110,000",3,1.0,1293
"4055 Pasadena St, Detroit, MI 48238","$85,000",3,2.0,1617
"13400 Gable St, Detroit, MI 48212","$74,900",4,2.0,1033
"15767 Plainview Ave, Detroit, MI 48223","$105,000",4,2.0,1003
"19343 Packard St, Detroit, MI 48234","$68,000",3,1.0,1264
"14049 Rosemont Ave, Detroit, MI 48223","$85,000",3,2.0,1669
"19530 Reno St, Detroit, MI 48205","$110,000",3,1.0,1140
"18295 Prairie St, Detroit, MI 48221","$165,000",5,2.0,1615
"16500 Eastburn St, Detroit, MI 48205","$89,000",3,2.0,1500
"10044 Ashton Ave, Detroit, MI 48228","$35,000",3,1.0,1035
"14953 Winthrop St, Detroit, MI 48227","$85,000",4,2.0,1390
"8047 Greenview Ave, Detroit, MI 48228","$5,000",2,1.0,760
"20446 Stotter St, Detroit, MI 48234","$104,000",3,2.0,1437
"15385 Stansbury St, Detroit, MI 48227","$89,900",3,1.0,1158
"7420 E Robinwood St, Detroit, MI 48234","$85,000",3,1.0,1708
"19622 Hickory St, Detroit, MI 48205","$14,500",5,2.0,1488
"4433 Harvard Rd, Detroit, MI 48224","$199,000",3,2.0,1491
"12709 Hampshire St, Detroit, MI 48213","$89,900",5,2.0,2191
"16558 Cherrylawn St, Detroit, MI 48221","$164,900",3,1.0,1499
"16861 Forrer St, Detroit, MI 48235","$98,900",2,1.0,708
"19723 Carrie St, Detroit, MI 48234","$89,000",3,1.0,1020
"12366 Northlawn St, Detroit, MI 48204","$26,000",3,1.0,1050
"20120 Tracey St, Detroit, MI 48235","$92,000",3,1.0,1008
"14941 Freeland St, Detroit, MI 48227","$84,900",3,2.0,1582
